metric_group,metric_name,asset,pair,stage,trade_action,value,sample_size,window,notes
market_context,bybit_attempts,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,resolved_symbol_distribution,,ETH-USDT-SWAP,,,136,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,requested_to_resolved_distribution,,ETHUSDC->ETH-USDT-SWAP,,,69,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
market_context,requested_to_resolved_distribution,,ETHUSDT->ETH-USDT-SWAP,,,67,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm,clean_confirm_count,,,,,2,76,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm,local_confirm_count,,,,,37,76,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm,broader_confirm_count,,,,,4,76,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm,late_confirm_count,,,,,16,76,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm,chase_risk_count,,,,,0,76,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm,unconfirmed_confirm_count,,,,,23,76,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm,confirm_move_before_30s_median,,,,,-0.000179,76,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm,confirm_move_after_60s_median,,,,,0.000194,76,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,count,,,local_confirm,,37,37,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,move_after_30s_median,,,local_confirm,,0.000469,37,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,move_after_60s_median,,,local_confirm,,0.000252,37,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,move_after_300s_median,,,local_confirm,,,37,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,adverse_30s_rate,,,local_confirm,,0.1875,37,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,adverse_60s_rate,,,local_confirm,,0.2,37,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,adverse_300s_rate,,,local_confirm,,,37,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,count,,,broader_confirm,,4,4,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,move_after_30s_median,,,broader_confirm,,-0.000827,4,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,move_after_60s_median,,,broader_confirm,,-0.000827,4,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,move_after_300s_median,,,broader_confirm,,,4,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,adverse_30s_rate,,,broader_confirm,,1.0,4,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,adverse_60s_rate,,,broader_confirm,,1.0,4,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
confirm_scope,adverse_300s_rate,,,broader_confirm,,,4,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
sweep,sweep_building_count,,,,,35,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
sweep,sweep_building_display_climax_residual_count,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
sweep,sweep_confirmed_count,,,,,38,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
sweep,sweep_exhaustion_risk_count,,,,,21,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
sweep,sweep_reversal_60s,,,,,"{""resolved_count"": 19, ""adverse_count"": 8, ""adverse_rate"": 0.4211}",38,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
sweep,sweep_reversal_300s,,,,,"{""resolved_count"": 0, ""adverse_count"": 0, ""adverse_rate"": null}",38,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
sweep,sweep_exhaustion_outcome_300s,,,,,"{""resolved_count"": 0, ""adverse_count"": 0, ""adverse_rate"": null}",21,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
absorption,local_sell_pressure_absorption_count,,,,,21,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
absorption,local_buy_pressure_absorption_count,,,,,16,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
