metric_group,metric_name,asset,pair,state,opportunity_status,value,sample_size,window,notes
outcome,outcome_60s_status_distribution,,,,,"{""completed"": 56, ""expired"": 78, ""pending"": 2}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_300s_completed_rate,,,,,0.0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_300s_completed_count,,,,,0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_300s_status_distribution,,,,,"{""expired"": 134, ""pending"": 2}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_price_source_distribution,,,,,"{""okx_mark"": 544}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,expired_rate_by_window,,,,,"{""30s"": 0.5294, ""60s"": 0.5735, ""300s"": 0.9853}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
outcome,outcome_failure_reason_distribution,,,,,"{""window_elapsed_without_price_update"": 418}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
market_context,live_public_count,,,,,136,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
market_context,unavailable_count,,,,,0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
market_context,live_public_rate,,,,,1.0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
market_context,okx_attempts,,,,,741,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
market_context,okx_success,,,,,740,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
market_context,kraken_attempts,,,,,0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
market_context,kraken_success,,,,,0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
market_context,resolved_symbol_distribution,,,,,"{""ETH-USDT-SWAP"": 136}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
market_context,top_failure_reasons,,,,,"{""timeout"": 1}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
major_pool_coverage,asset_distribution,,,,,"{""ETH"": 136}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
major_pool_coverage,pair_distribution,,,,,"{""ETH/USDC"": 69, ""ETH/USDT"": 67}",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
major_pool_coverage,covered_major_pairs,,,,,"[""ETH/USDT"", ""ETH/USDC""]",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
major_pool_coverage,missing_major_pairs,,,,,"[""BTC/USDT"", ""BTC/USDC"", ""SOL/USDT"", ""SOL/USDC""]",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
major_pool_coverage,missing_major_assets,,,,,"[""BTC"", ""SOL""]",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
major_pool_coverage,configured_but_disabled_major_pools,,,,,"[{""index"": 2, ""pair_label"": ""BTC/USDT"", ""placeholder"": false, ""pool_address"": ""0x9db9e0e53058c89e5b94e29621a205198648425b""}, {""index"": 3, ""pair_label"": ""BTC/USDC"", ""placeholder"": false, ""pool_address"": ""0x004375dff511095cc5a197a54140a24efef3a416""}]",136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
historical_data_retention,archive_days_available,,,,,4,,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
