metric_group,metric_name,today_value,previous_value,abs_change,pct_change,interpretation,data_source,notes
trade_action_opportunity,hard_blocker_distribution,"{""history_completion_too_low"": 39, ""late_or_chase"": 21, ""no_trade_lock"": 8}","{""history_completion_too_low"": 39, ""late_or_chase"": 32, ""no_trade_lock"": 12, ""strong_opposite_signal"": 1}",,,结构化内容变化；需人工查看差异,"{""previous"": {""path"": ""trade_opportunity_summary.hard_blocker_distribution"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.opportunity_hard_blocker_distribution"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:trade_opportunity_summary.hard_blocker_distribution->trade_opportunity_summary.opportunity_hard_blocker_distribution | source_report_changed:overnight_trade_action->afternoon_evening_state
trade_action_opportunity,verification_blocker_distribution,{},"{""profile_completion_too_low"": 3}",,,结构化内容变化；需人工查看差异,"{""previous"": {""path"": ""trade_opportunity_summary.verification_blocker_distribution"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.verification_blocker_distribution"", ""report_type"": ""overnight_trade_action""}}",
trade_action_opportunity,opportunity_score_median,0.52775,0.5175,0.01025,1.98,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""trade_opportunity_summary.opportunity_score_median"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.opportunity_score_median"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
trade_action_opportunity,opportunity_score_p90,0.6865,0.6821,0.0044,0.65,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""trade_opportunity_summary.opportunity_score_p90"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.opportunity_score_p90"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
trade_action_opportunity,why_no_verified,,,,,today/previous 字段都缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": null, ""report_type"": null}}",
trade_action_opportunity,why_no_opportunities,"[""top_blockers={'history_completion_too_low': 39, 'late_or_chase': 21, 'no_trade_lock': 8}"", ""no_candidate_reached_opportunity_score_gate""]","[""top_blockers={'history_completion_too_low': 39, 'late_or_chase': 32, 'no_trade_lock': 12}"", ""candidates_exist_but_verified_gate_not_open""]",,,结构化内容变化；需人工查看差异,"{""previous"": {""path"": ""trade_opportunity_summary.why_no_opportunities"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.why_no_opportunities"", ""report_type"": ""afternoon_evening_state""}}",source_report_changed:overnight_trade_action->afternoon_evening_state
candidate_verified_posterior,candidate_30s_followthrough_rate,,,,,today/previous 字段都缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": null, ""report_type"": null}}",
candidate_verified_posterior,candidate_60s_followthrough_rate,,,,,today/previous 字段都缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": null, ""report_type"": null}}",
candidate_verified_posterior,candidate_300s_followthrough_rate,,,,,today/previous 字段都缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": null, ""report_type"": null}}",
candidate_verified_posterior,candidate_30s_adverse_rate,,,,,today/previous 字段都缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": null, ""report_type"": null}}",
candidate_verified_posterior,candidate_60s_adverse_rate,,,,,today/previous 字段都缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": null, ""report_type"": null}}",
