[2026-06-14T14:02:46.396841Z] backfill: cur=25316192 window blocks [22578192,25206192] pools=4 chunk=10000
[2026-06-14T14:02:46.408731Z] threaded backfill: 1052 tasks remaining of 1052 (8 workers)
[2026-06-14T14:36:28.324505Z] timestamps: 4248 unique burn-blocks, 4248 to fetch (single-call, threaded)
[2026-06-14T14:37:29.849001Z]   ts 200/4248 (fail=0)
[2026-06-14T14:38:27.772425Z]   ts 400/4248 (fail=0)
[2026-06-14T14:39:19.710278Z]   ts 600/4248 (fail=0)
[2026-06-14T14:40:10.771631Z]   ts 800/4248 (fail=0)
[2026-06-14T14:40:56.965448Z]   ts 1000/4248 (fail=0)
[2026-06-14T14:41:43.899406Z]   ts 1200/4248 (fail=0)
[2026-06-14T14:42:28.463718Z]   ts 1400/4248 (fail=0)
[2026-06-14T14:43:13.772213Z]   ts 1600/4248 (fail=0)
[2026-06-14T14:43:58.685929Z]   ts 1800/4248 (fail=0)
[2026-06-14T14:44:46.050520Z]   ts 2000/4248 (fail=0)
[2026-06-14T14:45:30.164776Z]   ts 2200/4248 (fail=0)
[2026-06-14T14:46:15.328361Z]   ts 2400/4248 (fail=0)
[2026-06-14T14:47:01.219211Z]   ts 2600/4248 (fail=0)
[2026-06-14T14:47:44.696124Z]   ts 2800/4248 (fail=0)
[2026-06-14T14:48:30.312682Z]   ts 3000/4248 (fail=0)
[2026-06-14T14:49:17.365537Z]   ts 3200/4248 (fail=0)
[2026-06-14T14:50:01.958638Z]   ts 3400/4248 (fail=0)
[2026-06-14T14:50:47.877964Z]   ts 3600/4248 (fail=0)
[2026-06-14T14:51:32.631306Z]   ts 3800/4248 (fail=0)
[2026-06-14T14:52:16.834548Z]   ts 4000/4248 (fail=0)
[2026-06-14T14:53:01.668120Z]   ts 4200/4248 (fail=0)
[2026-06-14T14:53:16.037224Z] timestamps done: 4248 blocks resolved, 0 failed
[2026-06-14T14:54:11.881364Z] price coverage UTC: ETH:[2022-12-31 16:00:00..2026-05-28 15:59:00], BTC:[2022-12-31 16:00:00..2026-05-28 15:59:00]
[2026-06-14T14:54:12.009853Z] events usable (>= $1500, price-covered): 4222; by floor {'1500': 4222, '10000': 4072, '50000': 3968, '100000': 3950}
[2026-06-14T14:54:25.023420Z] analyze done -> results.json, event_sample.json
